,variable,coef,abs_coef
344,year_remod/add_1955,0.0,0.0
353,year_remod/add_1964,-0.0,0.0
354,year_remod/add_1965,0.0,0.0
495,garage_yr_blt_2008.0,0.0,0.0
329,year_built_2000,0.0,0.0
364,year_remod/add_1975,-0.0,0.0
325,year_built_1996,-0.0,0.0
363,year_remod/add_1974,-0.0,0.0
345,year_remod/add_1956,-0.0,0.0
361,year_remod/add_1972,0.0,0.0
360,year_remod/add_1971,0.0,0.0
331,year_built_2002,-0.0,0.0
355,year_remod/add_1966,0.0,0.0
332,year_built_2003,0.0,0.0
333,year_built_2004,0.0,0.0
358,year_remod/add_1969,-0.0,0.0
334,year_built_2005,0.0,0.0
357,year_remod/add_1968,-0.0,0.0
356,year_remod/add_1967,0.0,0.0
478,garage_yr_blt_1991.0,-0.0,0.0
394,year_remod/add_2005,-0.0,0.0
372,year_remod/add_1983,0.0,0.0
373,year_remod/add_1984,-0.0,0.0
451,garage_yr_blt_1964.0,-0.0,0.0
450,garage_yr_blt_1963.0,-0.0,0.0
449,garage_yr_blt_1962.0,0.0,0.0
482,garage_yr_blt_1995.0,0.0,0.0
448,garage_yr_blt_1961.0,-0.0,0.0
447,garage_yr_blt_1960.0,-0.0,0.0
446,garage_yr_blt_1959.0,0.0,0.0
444,garage_yr_blt_1957.0,-0.0,0.0
443,garage_yr_blt_1956.0,-0.0,0.0
442,garage_yr_blt_1955.0,-0.0,0.0
441,garage_yr_blt_1954.0,0.0,0.0
439,garage_yr_blt_1952.0,0.0,0.0
437,garage_yr_blt_1950.0,0.0,0.0
483,garage_yr_blt_1996.0,0.0,0.0
435,garage_yr_blt_1948.0,0.0,0.0
434,garage_yr_blt_1947.0,0.0,0.0
433,garage_yr_blt_1946.0,0.0,0.0
432,garage_yr_blt_1945.0,0.0,0.0
431,garage_yr_blt_1942.0,-0.0,0.0
429,garage_yr_blt_1940.0,0.0,0.0
428,garage_yr_blt_1939.0,0.0,0.0
452,garage_yr_blt_1965.0,0.0,0.0
453,garage_yr_blt_1966.0,0.0,0.0
454,garage_yr_blt_1967.0,0.0,0.0
467,garage_yr_blt_1980.0,0.0,0.0
477,garage_yr_blt_1990.0,-0.0,0.0
475,garage_yr_blt_1988.0,-0.0,0.0
474,garage_yr_blt_1987.0,0.0,0.0
473,garage_yr_blt_1986.0,0.0,0.0
471,garage_yr_blt_1984.0,-0.0,0.0
480,garage_yr_blt_1993.0,-0.0,0.0
470,garage_yr_blt_1983.0,0.0,0.0
469,garage_yr_blt_1982.0,0.0,0.0
468,garage_yr_blt_1981.0,0.0,0.0
466,garage_yr_blt_1979.0,-0.0,0.0
455,garage_yr_blt_1968.0,0.0,0.0
465,garage_yr_blt_1978.0,-0.0,0.0
481,garage_yr_blt_1994.0,0.0,0.0
463,garage_yr_blt_1976.0,-0.0,0.0
462,garage_yr_blt_1975.0,-0.0,0.0
461,garage_yr_blt_1974.0,0.0,0.0
459,garage_yr_blt_1972.0,0.0,0.0
458,garage_yr_blt_1971.0,-0.0,0.0
457,garage_yr_blt_1970.0,-0.0,0.0
456,garage_yr_blt_1969.0,-0.0,0.0
484,garage_yr_blt_1997.0,-0.0,0.0
427,garage_yr_blt_1938.0,0.0,0.0
426,garage_yr_blt_1937.0,0.0,0.0
389,year_remod/add_2000,0.0,0.0
399,year_remod/add_2010,-0.0,0.0
398,year_remod/add_2009,-0.0,0.0
397,year_remod/add_2008,0.0,0.0
490,garage_yr_blt_2003.0,0.0,0.0
395,year_remod/add_2006,0.0,0.0
393,year_remod/add_2004,-0.0,0.0
392,year_remod/add_2003,0.0,0.0
391,year_remod/add_2002,0.0,0.0
390,year_remod/add_2001,0.0,0.0
388,year_remod/add_1999,-0.0,0.0
401,garage_yr_blt_1900.0,0.0,0.0
387,year_remod/add_1998,-0.0,0.0
386,year_remod/add_1997,0.0,0.0
385,year_remod/add_1996,0.0,0.0
384,year_remod/add_1995,0.0,0.0
381,year_remod/add_1992,-0.0,0.0
380,year_remod/add_1991,-0.0,0.0
491,garage_yr_blt_2004.0,0.0,0.0
375,year_remod/add_1986,-0.0,0.0
374,year_remod/add_1985,-0.0,0.0
489,garage_yr_blt_2002.0,-0.0,0.0
402,garage_yr_blt_1910.0,-0.0,0.0
425,garage_yr_blt_1936.0,0.0,0.0
413,garage_yr_blt_1924.0,-0.0,0.0
424,garage_yr_blt_1935.0,0.0,0.0
422,garage_yr_blt_1933.0,0.0,0.0
421,garage_yr_blt_1932.0,0.0,0.0
420,garage_yr_blt_1931.0,0.0,0.0
419,garage_yr_blt_1930.0,-0.0,0.0
418,garage_yr_blt_1929.0,0.0,0.0
416,garage_yr_blt_1927.0,0.0,0.0
415,garage_yr_blt_1926.0,0.0,0.0
414,garage_yr_blt_1925.0,-0.0,0.0
485,garage_yr_blt_1998.0,-0.0,0.0
306,year_built_1977,-0.0,0.0
411,garage_yr_blt_1922.0,0.0,0.0
410,garage_yr_blt_1921.0,0.0,0.0
408,garage_yr_blt_1919.0,0.0,0.0
407,garage_yr_blt_1918.0,-0.0,0.0
406,garage_yr_blt_1917.0,0.0,0.0
405,garage_yr_blt_1916.0,-0.0,0.0
404,garage_yr_blt_1915.0,0.0,0.0
486,garage_yr_blt_1999.0,-0.0,0.0
487,garage_yr_blt_2000.0,0.0,0.0
307,year_built_1978,-0.0,0.0
0,pid,-0.0,0.0
305,year_built_1976,-0.0,0.0
83,condition_1_RRNn,-0.0,0.0
112,exterior_1st_BrkComm,-0.0,0.0
111,exterior_1st_AsphShn,0.0,0.0
110,roof_matl_WdShngl,0.0,0.0
109,roof_matl_WdShake,0.0,0.0
108,roof_matl_Tar&Grv,-0.0,0.0
107,roof_matl_Membran,0.0,0.0
106,roof_style_Shed,-0.0,0.0
103,roof_style_Gambrel,0.0,0.0
102,roof_style_Gable,-0.0,0.0
101,house_style_SLvl,-0.0,0.0
99,house_style_2Story,0.0,0.0
98,house_style_2.5Unf,-0.0,0.0
97,house_style_2.5Fin,-0.0,0.0
96,house_style_1Story,0.0,0.0
95,house_style_1.5Unf,0.0,0.0
93,bldg_type_Twnhs,-0.0,0.0
91,bldg_type_2fmCon,-0.0,0.0
90,condition_2_RRNn,0.0,0.0
89,condition_2_RRAn,-0.0,0.0
88,condition_2_RRAe,-0.0,0.0
85,condition_2_Norm,-0.0,0.0
114,exterior_1st_CBlock,0.0,0.0
117,exterior_1st_ImStucc,0.0,0.0
118,exterior_1st_MetalSd,-0.0,0.0
131,exterior_2nd_ImStucc,0.0,0.0
145,foundation_Stone,0.0,0.0
144,foundation_Slab,0.0,0.0
143,foundation_PConc,-0.0,0.0
142,foundation_CBlock,-0.0,0.0
141,mas_vnr_type_Stone,0.0,0.0
139,mas_vnr_type_BrkFace,-0.0,0.0
138,exterior_2nd_Wd Shng,-0.0,0.0
134,exterior_2nd_Stone,0.0,0.0
132,exterior_2nd_MetalSd,0.0,0.0
129,exterior_2nd_CmentBd,0.0,0.0
119,exterior_1st_Plywood,-0.0,0.0
128,exterior_2nd_CBlock,0.0,0.0
127,exterior_2nd_BrkFace,0.0,0.0
126,exterior_2nd_Brk Cmn,0.0,0.0
125,exterior_2nd_AsphShn,0.0,0.0
124,exterior_1st_WdShing,0.0,0.0
123,exterior_1st_Wd Sdng,-0.0,0.0
122,exterior_1st_VinylSd,0.0,0.0
121,exterior_1st_Stucco,-0.0,0.0
120,exterior_1st_Stone,0.0,0.0
84,condition_2_Feedr,0.0,0.0
82,condition_1_RRNe,-0.0,0.0
304,year_built_1975,0.0,0.0
81,condition_1_RRAn,-0.0,0.0
37,seasons,0.0,0.0
36,age_after_remod,0.0,0.0
35,housing_age,0.0,0.0
32,yr_sold,0.0,0.0
31,mo_sold,-0.0,0.0
30,misc_val,-0.0,0.0
29,pool_area,0.0,0.0
26,enclosed_porch,-0.0,0.0
25,open_porch_sf,0.0,0.0
24,wood_deck_sf,-0.0,0.0
22,garage_cars,0.0,0.0
21,fireplaces,0.0,0.0
20,totrms_abvgrd,0.0,0.0
15,bsmt_half_bath,-0.0,0.0
14,bsmt_full_bath,0.0,0.0
12,low_qual_fin_sf,-0.0,0.0
11,2nd_flr_sf,0.0,0.0
10,1st_flr_sf,0.0,0.0
9,total_bsmt_sf,0.0,0.0
8,bsmt_unf_sf,-0.0,0.0
7,bsmtfin_sf_2,0.0,0.0
40,ms_subclass_45,0.0,0.0
41,ms_subclass_50,0.0,0.0
43,ms_subclass_70,0.0,0.0
66,land_contour_Low,-0.0,0.0
80,condition_1_RRAe,-0.0,0.0
77,condition_1_Norm,0.0,0.0
76,condition_1_Feedr,-0.0,0.0
75,land_slope_Sev,-0.0,0.0
72,lot_config_FR3,-0.0,0.0
71,lot_config_FR2,-0.0,0.0
69,utilities_NoSewr,0.0,0.0
68,utilities_NoSeWa,0.0,0.0
67,land_contour_Lvl,-0.0,0.0
64,lot_shape_Reg,0.0,0.0
45,ms_subclass_80,-0.0,0.0
63,lot_shape_IR3,-0.0,0.0
60,alley_None,0.0,0.0
59,street_Pave,-0.0,0.0
56,ms_zoning_RH,-0.0,0.0
55,ms_zoning_I (all),0.0,0.0
54,ms_zoning_FV,-0.0,0.0
51,ms_subclass_180,-0.0,0.0
50,ms_subclass_160,-0.0,0.0
46,ms_subclass_85,-0.0,0.0
146,foundation_Wood,-0.0,0.0
149,bsmtfin_type_1_LwQ,0.0,0.0
153,bsmtfin_type_2_BLQ,0.0,0.0
161,heating_OthW,0.0,0.0
273,year_built_1942,-0.0,0.0
271,year_built_1940,0.0,0.0
269,year_built_1938,0.0,0.0
268,year_built_1937,0.0,0.0
267,year_built_1936,0.0,0.0
265,year_built_1934,-0.0,0.0
264,year_built_1932,-0.0,0.0
263,year_built_1931,-0.0,0.0
262,year_built_1930,0.0,0.0
261,year_built_1929,0.0,0.0
259,year_built_1927,0.0,0.0
258,year_built_1926,0.0,0.0
256,year_built_1924,-0.0,0.0
253,year_built_1921,-0.0,0.0
251,year_built_1919,0.0,0.0
249,year_built_1917,0.0,0.0
248,year_built_1916,-0.0,0.0
247,year_built_1915,-0.0,0.0
246,year_built_1914,-0.0,0.0
245,year_built_1913,0.0,0.0
244,year_built_1912,0.0,0.0
274,year_built_1945,0.0,0.0
275,year_built_1946,0.0,0.0
276,year_built_1947,0.0,0.0
293,year_built_1964,-0.0,0.0
303,year_built_1974,-0.0,0.0
302,year_built_1973,-0.0,0.0
300,year_built_1971,0.0,0.0
299,year_built_1970,0.0,0.0
298,year_built_1969,-0.0,0.0
297,year_built_1968,0.0,0.0
296,year_built_1967,0.0,0.0
295,year_built_1966,0.0,0.0
294,year_built_1965,0.0,0.0
292,year_built_1963,-0.0,0.0
277,year_built_1948,-0.0,0.0
291,year_built_1962,0.0,0.0
288,year_built_1959,-0.0,0.0
287,year_built_1958,0.0,0.0
285,year_built_1956,-0.0,0.0
284,year_built_1955,-0.0,0.0
283,year_built_1954,0.0,0.0
281,year_built_1952,0.0,0.0
280,year_built_1951,-0.0,0.0
279,year_built_1950,0.0,0.0
242,year_built_1910,0.0,0.0
241,year_built_1908,0.0,0.0
240,year_built_1905,0.0,0.0
179,garage_type_Detchd,0.0,0.0
193,misc_feature_TenC,-0.0,0.0
192,misc_feature_Shed,0.0,0.0
190,misc_feature_None,-0.0,0.0
189,fence_None,-0.0,0.0
188,fence_MnWw,0.0,0.0
187,fence_MnPrv,0.0,0.0
184,paved_drive_P,-0.0,0.0
183,garage_finish_Unf,-0.0,0.0
181,garage_finish_None,0.0,0.0
178,garage_type_CarPort,0.0,0.0
196,sale_type_ConLD,0.0,0.0
176,garage_type_Basment,-0.0,0.0
173,functional_Sev,-0.0,0.0
171,functional_Mod,0.0,0.0
170,functional_Min2,-0.0,0.0
167,electrical_SBrkr,-0.0,0.0
166,electrical_Mix,0.0,0.0
165,electrical_FuseP,0.0,0.0
164,electrical_FuseF,0.0,0.0
162,heating_Wall,0.0,0.0
194,sale_type_CWD,0.0,0.0
197,sale_type_ConLI,0.0,0.0
239,year_built_1901,-0.0,0.0
224,neighborhood_SawyerW,0.0,0.0
238,year_built_1900,-0.0,0.0
234,year_built_1893,0.0,0.0
233,year_built_1890,0.0,0.0
232,year_built_1885,0.0,0.0
231,year_built_1880,-0.0,0.0
230,year_built_1879,-0.0,0.0
229,year_built_1875,-0.0,0.0
227,neighborhood_Timber,-0.0,0.0
225,neighborhood_Somerst,0.0,0.0
223,neighborhood_Sawyer,0.0,0.0
198,sale_type_ConLw,0.0,0.0
214,neighborhood_MeadowV,0.0,0.0
213,neighborhood_Landmrk,0.0,0.0
212,neighborhood_IDOTRR,0.0,0.0
210,neighborhood_Greens,0.0,0.0
208,neighborhood_Edwards,0.0,0.0
206,neighborhood_CollgCr,-0.0,0.0
204,neighborhood_BrkSide,0.0,0.0
202,neighborhood_Blueste,0.0,0.0
200,sale_type_Oth,0.0,0.0
250,year_built_1918,-0.0,0.0
